2 1:3.7078726 2:-29.89816 3:2.6627536 4:-5.5660386 5:-3.357923 6:-3.5301 7:1.7560271 8:0.054311424 9:-1.6005688 10:-2.263936 11:2.2658021 12:-0.81786245 13:-0.68642545 14:3.7078726 15:-29.89816 16:2.6627536 17:-5.5660386 18:-3.357923 19:-3.5301 20:1.7560271 21:0.054311424 22:-1.6005688 23:-2.263936 24:2.2658021 25:-0.81786245 26:-0.68642545 
2 1:261.44043 2:-2.3307285 3:8.707141 4:-1.8512576 5:4.030261 6:-3.4167185 7:0.27577657 8:-2.404487 9:2.1922696 10:-1.1702058 11:1.2695981 12:-1.7597083 13:3.4475563 14:261.44043 15:-2.3307285 16:8.707141 17:-1.8512576 18:4.030261 19:-3.4167185 20:0.27577657 21:-2.404487 22:2.1922696 23:-1.1702058 24:1.2695981 25:-1.7597083 26:3.4475563 
2 1:262.00305 2:-3.7006733 3:7.147976 4:-3.1217532 5:1.643225 6:-2.9759672 7:0.4846014 8:-3.3111079 9:0.84329027 10:-1.766844 11:2.5516384 12:-1.1162938 13:3.9774718 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:263.94983 2:-2.5514712 3:9.033233 4:-2.5832028 5:0.112514615 6:-4.391052 7:1.5694791 8:-0.58837813 9:1.4720017 10:-1.4902349 11:3.7296 12:-0.35080633 13:3.7133818 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.16895 2:-2.7019258 3:9.732468 4:-2.6829066 5:2.1349626 6:-1.1287469 7:2.5087125 8:-2.957635 9:1.5571469 10:-0.3930529 11:3.2505593 12:-0.9929518 13:1.673103 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.43765 2:-2.9280965 3:9.851305 4:-1.6158175 5:1.312124 6:-1.2760644 7:3.428405 8:-2.3230493 9:0.6693799 10:-2.4339652 11:1.0412099 12:-1.6025065 13:2.082599 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.47375 2:-4.084463 3:8.0244465 4:-2.5190127 5:1.608729 6:-2.076741 7:1.498138 8:-2.3639178 9:2.0202677 10:-1.8941945 11:2.0471513 12:-2.322219 13:2.1346512 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:257.62985 2:-4.1802616 3:7.869069 4:-2.055894 5:1.2509774 6:-3.8998265 7:0.09515857 8:-2.3080537 9:2.825513 10:-1.8832041 11:2.0867918 12:-2.6633072 13:1.5068873 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.5593 2:-1.7324617 3:10.659748 4:-1.4668093 5:1.8663789 6:-3.5893364 7:0.33481115 8:-3.1427288 9:1.4311113 10:-2.0520175 11:1.8704578 12:-1.7220232 13:1.8028305 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.69028 2:-2.6524425 3:10.482723 4:-0.8614111 5:2.8460772 6:-1.204854 7:2.755392 8:-1.295482 9:2.2681189 10:-1.0314842 11:1.984619 12:-2.426073 13:2.204549 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.89862 2:-2.6301634 3:9.546982 4:-2.6099098 5:2.7792373 6:-3.7002316 7:-0.45142114 8:-2.4611218 9:1.435546 10:-1.3405612 11:1.2396773 12:-2.0875535 13:1.6023282 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.48743 2:-1.1302152 3:9.85467 4:-2.067848 5:3.5445697 6:-2.7647443 7:-0.5145323 8:-3.290081 9:1.1769263 10:-1.708359 11:1.3570951 12:-1.8297312 13:2.0994148 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
