2 1:205.50711 2:-7.3252225 3:9.32412 4:0.5026895 5:2.4919262 6:-1.3294034 7:-0.87097764 8:-6.0348144 9:1.0138285 10:-3.9291036 11:0.18716478 12:-1.2056468 13:1.7730252 14:205.50711 15:-7.3252225 16:9.32412 17:0.5026895 18:2.4919262 19:-1.3294034 20:-0.87097764 21:-6.0348144 22:1.0138285 23:-3.9291036 24:0.18716478 25:-1.2056468 26:1.7730252 
2 1:251.60255 2:-7.9306574 3:7.6937037 4:-1.8179137 5:2.3786538 6:-1.8293508 7:0.693979 8:-2.2396455 9:1.7616535 10:-1.6871963 11:2.636153 12:-1.4352611 13:3.098074 14:251.60255 15:-7.9306574 16:7.6937037 17:-1.8179137 18:2.3786538 19:-1.8293508 20:0.693979 21:-2.2396455 22:1.7616535 23:-1.6871963 24:2.636153 25:-1.4352611 26:3.098074 
2 1:252.09001 2:-7.704706 3:10.31276 4:-0.19247104 5:3.142 6:0.3755417 7:3.52957 8:-0.872734 9:0.6685187 10:-2.3596027 11:1.7678868 12:-0.99682224 13:1.5796019 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:252.87955 2:-7.218837 3:10.0427 4:-0.6733528 5:2.708996 6:-0.7018546 7:1.4622248 8:-2.3319633 9:0.9601235 10:-2.1389675 11:0.19470958 12:-2.1141098 13:1.1084623 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:254.19629 2:-4.3095107 3:10.786924 4:0.6910142 5:4.622705 6:0.042082 7:2.7797766 8:-1.1180174 9:2.7205446 10:-1.7481275 11:3.0109591 12:-1.6683724 13:2.114576 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:253.04749 2:-5.6515436 3:10.662315 4:0.326474 5:1.7821767 6:-1.1681092 7:2.0989242 8:-0.5858491 9:2.331839 10:-2.0284216 11:0.71759045 12:-3.8886316 13:0.90196407 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:253.50488 2:-5.982655 3:11.819789 4:1.5152079 5:2.3149643 6:-1.6008687 7:2.5718148 8:-1.2265216 9:1.9361675 10:-1.8934897 11:1.7489988 12:-1.2161587 13:1.13144 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:251.98056 2:-6.33406 3:11.452289 4:0.94382507 5:2.2422068 6:-1.8421617 7:2.1332345 8:-1.8806598 9:1.0074909 10:-2.2632346 11:1.4880242 12:-0.85614413 13:1.3259784 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:253.17969 2:-6.196894 3:9.6634865 4:-0.58342785 5:2.2825496 6:-2.0693483 7:1.332083 8:-1.9357046 9:2.326616 10:-1.3828262 11:3.2726483 12:0.11824671 13:2.675166 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:251.14265 2:-7.296181 3:9.288541 4:-0.5701703 5:1.192923 6:-0.8944565 7:1.6248447 8:-2.2322912 9:2.6431358 10:-0.51141053 11:2.6694174 12:-0.6247947 13:2.736959 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
2 1:253.45262 2:-5.6869698 3:10.071725 4:-0.7248702 5:2.107962 6:-0.9951928 7:2.3229249 8:-0.7328454 9:2.8681862 10:-1.578804 11:3.1498797 12:-0.31783015 13:2.720796 14:89.27616 15:3.8472779 16:3.9849927 17:-1.8371786 18:2.0140555 19:1.3941587 20:2.295838 21:-0.9342807 22:1.8525046 23:-1.19424 24:0.82525164 25:-0.8284797 26:1.2151835 
