2 1:235.99924 2:-6.43862 3:9.199582 4:-0.7908714 5:3.791119 6:-0.9644162 7:0.8635385 8:-2.0853138 9:1.2105851 10:-1.9498639 11:0.10238989 12:-2.8661904 13:1.1174195 14:235.99924 15:-6.43862 16:9.199582 17:-0.7908714 18:3.791119 19:-0.9644162 20:0.8635385 21:-2.0853138 22:1.2105851 23:-1.9498639 24:0.10238989 25:-2.8661904 26:1.1174195 
2 1:251.4323 2:-8.788354 3:8.736781 4:-1.3738216 5:2.179818 6:-1.3043455 7:1.2161316 8:-1.963685 9:0.4352397 10:-0.86561656 11:2.5534976 12:-0.40372056 13:3.1599903 14:251.4323 15:-8.788354 16:8.736781 17:-1.3738216 18:2.179818 19:-1.3043455 20:1.2161316 21:-1.963685 22:0.4352397 23:-0.86561656 24:2.5534976 25:-0.40372056 26:3.1599903 
2 1:250.7774 2:-7.319316 3:7.758309 4:-2.206744 5:1.4261868 6:-0.97935593 7:1.4826332 8:-2.0746074 9:0.8186689 10:-1.8412124 11:1.912249 12:-2.3549225 13:2.917703 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:250.54863 2:-6.677995 3:11.772127 4:1.2171185 5:2.6034944 6:-2.8609605 7:0.4988934 8:-2.2898085 9:1.885264 10:-1.9224681 11:1.8792818 12:-0.59788525 13:2.2757952 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:250.71545 2:-8.086451 3:8.666473 4:-0.5964332 5:2.439692 6:-0.7462723 7:2.074711 8:-0.17414623 9:2.7868662 10:-1.0150802 11:1.0833888 12:-1.7470629 13:1.1729888 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:250.09792 2:-6.5571995 3:10.597527 4:0.11434298 5:2.0659008 6:-1.3183943 7:1.1408762 8:-2.6649048 9:1.7620062 10:-2.1599731 11:0.98263997 12:-2.9818888 13:2.034251 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:250.1059 2:-7.7482104 3:8.830621 4:-1.0540107 5:3.0183175 6:-1.8574829 7:0.22034085 8:-2.7938716 9:1.3729529 10:-2.4664817 11:1.4428638 12:-1.7855341 13:2.415338 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:248.17719 2:-8.569889 3:9.187838 4:0.42790496 5:2.1755679 6:-2.0859716 7:1.7927904 8:-2.3862965 9:1.7328792 10:-1.0945464 11:1.6065084 12:-2.2562397 13:1.7810947 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.39474 2:-6.598754 3:10.581332 4:1.068923 5:2.634028 6:-1.209679 7:3.4174345 8:-1.1106232 9:2.4553163 10:-0.56783444 11:0.92871976 12:-3.1836455 13:1.254295 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:251.86415 2:-6.281178 3:10.026015 4:0.20262258 5:5.000724 6:-0.01674642 7:1.3891315 8:-1.8004408 9:1.339096 10:-1.7667894 11:1.9143348 12:-1.893277 13:0.38339877 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.50397 2:-7.471075 3:9.564645 4:-0.35639933 5:1.8953749 6:-0.5833484 7:2.7164075 8:-1.9138447 9:0.35790917 10:-2.2072608 11:2.0450308 12:0.36065304 13:1.5851895 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:251.28801 2:-7.2713194 3:7.749857 4:-0.75362897 5:3.6724725 6:-0.38467577 7:2.8348432 8:-1.4260833 9:1.682516 10:-2.876475 11:1.4758533 12:-1.8130068 13:0.64523447 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:248.3503 2:-9.492312 3:9.4542265 4:-0.56805134 5:2.6151252 6:-0.120181896 7:1.2411119 8:-3.4364884 9:0.06073774 10:-0.8587858 11:2.0854301 12:-1.7597256 13:1.3626634 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.61192 2:-7.621705 3:10.308039 4:-0.69654596 5:1.957742 6:-1.6132864 7:1.3005817 8:-2.081043 9:0.50103414 10:-1.7367028 11:1.7730273 12:-1.9443585 13:1.8507179 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.26118 2:-8.071965 3:8.939827 4:0.26375365 5:2.573358 6:-1.6294876 7:2.2415884 8:-1.5789471 9:1.3643273 10:-1.292649 11:2.7306318 12:-0.44745705 13:2.0323305 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:250.94409 2:-7.107322 3:9.196235 4:1.7928077 5:2.9647086 6:-1.7327825 7:1.1616551 8:-0.6672146 9:2.3486462 10:-2.2624114 11:1.0447402 12:-2.9167852 13:1.1155409 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:251.57158 2:-7.176143 3:9.883324 4:0.03985694 5:1.8723346 6:-3.6022692 7:1.5173317 8:-0.6074353 9:2.2344058 10:-1.3569092 11:1.8017545 12:-0.72527754 13:0.7901576 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:247.9672 2:-7.3987007 3:8.430903 4:-1.7204031 5:0.7216013 6:-2.5366993 7:0.17970254 8:-3.1456974 9:0.74659306 10:-3.4047816 11:1.9785842 12:-1.0414494 13:1.2646248 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:249.58968 2:-6.892364 3:10.413212 4:0.16056426 5:1.0193999 6:-0.92719316 7:2.5756955 8:-1.9638445 9:1.1443496 10:-1.4940197 11:2.6469765 12:-1.0432835 13:1.9426554 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:254.19193 2:-5.4015155 3:10.434733 4:-0.14471956 5:2.92712 6:-1.1267334 7:1.603673 8:-1.6036127 9:1.2608516 10:-1.8099579 11:0.8374252 12:-2.6165948 13:1.7288142 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
2 1:248.7623 2:-8.222018 3:10.166537 4:-0.85674226 5:1.3976978 6:-2.6564546 7:0.90140074 8:-1.5767285 9:1.0813626 10:-2.2802565 11:1.7636381 12:-0.8202206 13:1.8307995 14:82.76642 15:1.4758929 16:5.525593 17:0.61473763 18:1.7307284 19:-0.06488192 20:0.64312065 21:-1.2366651 22:0.3010358 23:-1.3001337 24:0.7130936 25:-0.751943 26:1.0079063 
