2 1:148.47943 2:-4.231105 3:7.9034796 4:-7.8613534 5:-2.748938 6:-3.9337807 7:5.8097234 8:-0.6124555 9:-2.1428463 10:-1.2240571 11:2.4186256 12:-1.6888907 13:2.1599607 14:148.47943 15:-4.231105 16:7.9034796 17:-7.8613534 18:-2.748938 19:-3.9337807 20:5.8097234 21:-0.6124555 22:-2.1428463 23:-1.2240571 24:2.4186256 25:-1.6888907 26:2.1599607 
2 1:258.77972 2:-4.341929 3:9.029812 4:-1.1375508 5:1.9954165 6:-2.9557796 7:1.1706107 8:-1.4143744 9:2.3791666 10:-2.029402 11:1.0278022 12:-2.9324775 13:1.4838392 14:258.77972 15:-4.341929 16:9.029812 17:-1.1375508 18:1.9954165 19:-2.9557796 20:1.1706107 21:-1.4143744 22:2.3791666 23:-2.029402 24:1.0278022 25:-2.9324775 26:1.4838392 
2 1:259.8395 2:-3.8070145 3:9.203904 4:-1.1763519 5:3.2531397 6:-1.0135314 7:1.1208082 8:-1.9536102 9:2.5125737 10:-0.73571706 11:1.1439958 12:-2.9248767 13:2.1343644 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.27133 2:-5.038569 3:8.405072 4:-3.432443 5:0.6048261 6:-3.8658981 7:-1.272852 8:-3.6007433 9:0.46445203 10:-1.3381488 11:2.1624796 12:-0.8234874 13:3.0285537 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.4727 2:-5.402566 3:8.771708 4:-2.2475288 5:2.2199352 6:-1.8067129 7:0.8423893 8:-1.682157 9:2.11715 10:-2.0210283 11:0.92067426 12:-2.1690097 13:1.4096774 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:258.94778 2:-2.2494195 3:10.712022 4:-1.1639719 5:1.0310217 6:-2.0601642 7:3.056696 8:-0.80420554 9:2.394568 10:-1.7943455 11:1.889852 12:-2.127318 13:1.250515 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.29446 2:-5.5845156 3:8.806645 4:-3.0012434 5:1.45743 6:-2.7654135 7:2.162084 8:-1.2101525 9:2.822269 10:-0.20583224 11:3.881453 12:-0.14360552 13:3.1168728 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.708 2:-4.9214535 3:9.71201 4:0.5297235 5:4.064804 6:-1.534958 7:2.1741827 8:-1.9543979 9:1.752122 10:-2.2635727 11:1.9162849 12:-1.1749128 13:3.0038154 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:255.78749 2:-5.9549646 3:8.837356 4:-3.1162298 5:1.973961 6:-2.8373973 7:0.05576019 8:-1.871129 9:1.9660541 10:-1.1867064 11:2.2225287 12:-1.6242555 13:1.5825143 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:259.55557 2:-3.190007 3:9.351696 4:-2.904713 5:1.9211227 6:-2.322353 7:1.6755067 8:-2.2114751 9:2.1695127 10:-1.7754905 11:0.5028028 12:-2.244334 13:1.0538161 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:254.90816 2:-6.4184384 3:9.3485985 4:-1.1178447 5:1.5797756 6:-3.1563773 7:1.0363166 8:-2.6795206 9:1.2173027 10:-0.7435265 11:0.85728097 12:-3.0270512 13:0.9839457 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:257.29715 2:-5.1077213 3:10.616484 4:-1.1889023 5:3.233176 6:-0.8912846 7:2.16845 8:-2.1317835 9:2.1431277 10:-0.84663457 11:1.2860117 12:-3.3519516 13:0.33682758 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:255.87082 2:-4.7261405 3:10.543928 4:-1.5133349 5:1.2660921 6:-1.8766168 7:1.3937888 8:-1.8352746 9:0.6721173 10:-3.068516 11:1.4972109 12:-0.82499 13:2.9514108 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:257.2314 2:-5.190604 3:9.095293 4:-2.578009 5:1.1735585 6:-1.5587219 7:2.099274 8:-1.903169 9:3.3037896 10:0.06154425 11:3.3511984 12:-0.34042633 13:1.8871168 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:254.46448 2:-5.687592 3:8.677271 4:-1.6543293 5:1.0187631 6:-2.9426203 7:0.04936505 8:-0.925552 9:1.9408002 10:-0.318673 11:3.6335487 12:-1.8925003 13:2.9901102 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:257.45392 2:-4.6556683 3:9.160187 4:-2.1599572 5:1.7477376 6:-1.9924002 7:1.3731887 8:-1.2320479 9:2.0424802 10:-1.1464919 11:2.483762 12:-2.7826426 13:1.1284511 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.0091 2:-3.3896813 3:11.443517 4:-1.4738612 5:1.600601 6:-1.0601596 7:1.8001046 8:-2.110348 9:2.4243836 10:-1.8340018 11:1.6333634 12:-2.3255608 13:0.43285188 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:255.86028 2:-4.7103405 3:10.017499 4:-2.3732896 5:0.9735708 6:-1.551969 7:2.1168377 8:-2.0644176 9:1.6758775 10:-2.0772414 11:1.6173393 12:-2.8298917 13:2.1318781 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:257.34814 2:-4.6723237 3:8.227128 4:-1.0304973 5:2.9326215 6:-0.7421337 7:1.9723307 8:-2.4370246 9:1.1590425 10:-3.187821 11:-0.091959655 12:-3.8817196 13:1.7928412 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:255.19902 2:-5.644578 3:7.336971 4:-0.5939829 5:4.176681 6:0.3726503 7:2.2991042 8:-2.0900006 9:0.8296722 10:-2.3568985 11:1.3725239 12:-3.443978 13:0.9814106 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:259.94388 2:-2.5962193 3:9.781386 4:-1.2141511 5:2.1279004 6:-0.5425376 7:3.978708 8:-1.0757579 9:2.2724717 10:-1.6473857 11:3.2880888 12:-1.0231133 13:3.4753528 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:257.8299 2:-3.3732784 3:10.586966 4:-2.0424597 5:0.3852081 6:-2.4029121 7:1.8607287 8:-0.68700224 9:0.8147251 10:-3.1431792 11:1.654637 12:-1.1517196 13:2.6523488 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:254.68994 2:-4.147205 3:9.450623 4:-2.840565 5:0.39179903 6:-2.7543101 7:1.4150318 8:-1.8444402 9:2.3675911 10:-1.2350538 11:1.41921 12:-0.76673245 13:3.0930052 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.82144 2:-3.4096086 3:10.275756 4:-2.712053 5:1.7273003 6:-2.8340037 7:0.43734583 8:-3.3607035 9:1.5080922 10:-0.7684198 11:3.4134505 12:-0.9126912 13:2.4569023 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:257.70425 2:-2.121635 3:11.569944 4:-0.002806282 5:3.3543205 6:-2.4957144 7:1.2707782 8:-2.6480415 9:0.7032471 10:-1.4511412 11:1.6488775 12:-2.7439883 13:2.5540464 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:259.4805 2:-1.9384185 3:11.371438 4:1.0505853 5:4.9873066 6:-1.3871218 7:1.3478462 8:-2.4202242 9:1.3469181 10:-2.7792447 11:2.1945245 12:-0.94079036 13:2.58304 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.86218 2:-3.7936187 3:9.160746 4:-0.7844339 5:2.3762715 6:-1.7338455 7:1.2942394 8:-3.6386232 9:1.9971046 10:-1.4516597 11:1.6280736 12:-2.492996 13:2.2414823 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:255.57399 2:-4.727491 3:8.280983 4:-1.7029934 5:2.5239773 6:-2.2155867 7:0.5432697 8:-2.3395371 9:1.6609691 10:-1.0994767 11:1.5366104 12:-1.8093188 13:2.2905154 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.2377 2:-5.461531 3:7.815684 4:-2.9566815 5:0.75514835 6:-3.0869114 7:0.8729673 8:-2.1577284 9:1.7867151 10:-1.0838444 11:1.4441788 12:-0.95109195 13:2.6221488 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.3663 2:-5.115094 3:8.335031 4:-3.0149336 5:2.6105442 6:-1.606595 7:1.4688725 8:-2.173957 9:2.018831 10:-0.8411716 11:2.3999896 12:0.31354535 13:3.338419 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:269.30103 2:-0.1642166 3:9.9141445 4:-2.1985807 5:2.889484 6:-2.690389 7:1.2997882 8:-2.5351303 9:1.8886336 10:-2.230319 11:2.0591176 12:-1.1997478 13:1.9967843 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:261.21307 2:-3.4828188 3:9.810213 4:-0.34815162 5:3.1507378 6:-1.3118101 7:2.427394 8:-2.810232 9:2.0999196 10:-1.6918175 11:1.6131989 12:-2.9609208 13:1.8234835 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:256.10526 2:-6.2522798 3:8.448654 4:-1.8729773 5:1.8636836 6:-2.8958423 7:0.6365366 8:-0.771608 9:3.1000102 10:-0.6759581 11:2.2248 12:-0.007885079 13:2.9202015 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
