2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:259.43005 2:-5.050907 3:6.426179 4:-3.2380984 5:1.2860969 6:-3.887798 7:0.34124777 8:-2.8213494 9:0.5449555 10:-1.7727164 11:2.808374 12:-0.6047136 13:3.385484 14:259.43005 15:-5.050907 16:6.426179 17:-3.2380984 18:1.2860969 19:-3.887798 20:0.34124777 21:-2.8213494 22:0.5449555 23:-1.7727164 24:2.808374 25:-0.6047136 26:3.385484 
2 1:262.57742 2:-1.9351491 3:9.395078 4:-2.9101954 5:0.94287646 6:-3.5342827 7:0.36430928 8:-1.490894 9:1.533068 10:-1.2720002 11:2.6576333 12:-1.5230377 13:3.4851644 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:262.8347 2:-2.8745892 3:10.766718 4:-0.7937466 5:0.9111912 6:-2.8827734 7:0.4113969 8:-1.2889199 9:2.8594222 10:-1.8429455 11:3.079893 12:-2.4654832 13:1.5407654 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:263.86673 2:-2.220788 3:10.557017 4:-0.310262 5:1.2164782 6:-3.5102875 7:1.4018362 8:0.1393232 9:4.9163866 10:-0.7154528 11:1.7587167 12:-1.7701943 13:3.5698247 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:263.51593 2:-3.2215471 3:7.0902767 4:-1.441967 5:3.6962519 6:-1.1973987 7:2.0315428 8:-1.0189987 9:2.9313262 10:-2.3874125 11:2.0544176 12:-2.319546 13:1.0226668 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:262.97028 2:-1.7073185 3:10.760605 4:-1.4666476 5:1.754204 6:-4.031899 7:1.1258794 8:-1.285863 9:3.767846 10:-0.6254138 11:1.9216647 12:-1.7239065 13:1.8611377 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:261.0572 2:-2.4456942 3:10.661956 4:-0.29743245 5:2.9507713 6:-2.694609 7:1.8835489 8:-1.9572648 9:1.9407692 10:-1.7406218 11:1.8719664 12:-1.6694336 13:2.2677975 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:264.51288 2:-0.2291324 3:9.665917 4:-1.9950099 5:1.7231891 6:-3.4495897 7:1.2182567 8:-1.5052028 9:3.766473 10:0.075560704 11:3.6311078 12:-1.4155769 13:2.3742235 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:261.53406 2:-2.5112524 3:8.17439 4:-2.2641363 5:1.8714345 6:-1.5101292 7:3.6622171 8:-0.9836035 9:2.8468535 10:-0.9366429 11:2.9663048 12:-1.798766 13:1.1264251 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
2 1:260.1991 2:-1.4745718 3:11.48677 4:-1.9348639 5:0.35096055 6:-3.7719355 7:1.8155309 8:-1.0006722 9:2.9253068 10:-1.1383189 11:2.4105692 12:-2.9406981 13:1.6659904 14:87.481926 15:3.2890427 16:3.815861 17:-2.473907 18:0.6340302 19:0.5009143 20:2.1454139 21:-0.013050141 22:1.2525692 23:-1.27961 24:0.713008 25:-0.8956747 26:1.0295671 
