2 1:171.81621 2:-16.989916 3:1.7012916 4:-2.0916035 5:0.25827244 6:-1.2560186 7:0.47350994 8:-2.8074002 9:1.3555241 10:-2.3429875 11:4.2715483 12:0.89906704 13:4.7807693 14:171.81621 15:-16.989916 16:1.7012916 17:-2.0916035 18:0.25827244 19:-1.2560186 20:0.47350994 21:-2.8074002 22:1.3555241 23:-2.3429875 24:4.2715483 25:0.89906704 26:4.7807693 
2 1:259.58517 2:-4.8097796 3:8.101289 4:-1.8807329 5:2.6640687 6:-1.8397092 7:2.4853227 8:-0.899118 9:2.7761478 10:0.17531407 11:2.110958 12:-2.1182997 13:2.4266355 14:259.58517 15:-4.8097796 16:8.101289 17:-1.8807329 18:2.6640687 19:-1.8397092 20:2.4853227 21:-0.899118 22:2.7761478 23:0.17531407 24:2.110958 25:-2.1182997 26:2.4266355 
2 1:259.90216 2:-2.9682524 3:10.700101 4:-1.4157747 5:2.8536055 6:-1.05741 7:1.7516079 8:-0.41995284 9:2.3468368 10:-0.1633252 11:3.7711787 12:-1.7532951 13:2.1141925 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:259.4403 2:-3.95461 3:9.376336 4:-2.2662992 5:1.8703953 6:-1.0363009 7:2.2170641 8:-2.0586355 9:2.626325 10:0.10792224 11:3.7396088 12:-1.473757 13:1.0761162 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:264.52798 2:-2.220251 3:10.22148 4:-1.4839865 5:3.540229 6:-0.42888424 7:2.1567817 8:-1.6189233 9:1.9248369 10:-1.9173068 11:1.2440497 12:-3.0379403 13:0.7321372 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:267.77173 2:0.936092 3:12.511127 4:0.31274468 5:1.9152982 6:-4.201944 7:0.22274819 8:-4.167078 9:0.2597398 10:-3.4432793 11:0.8223946 12:-3.4363873 13:1.4344988 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:269.91626 2:1.7143594 3:11.630179 4:-0.6885768 5:1.6532736 6:-3.1141658 7:0.86216396 8:-4.3101687 9:0.7149499 10:-3.972088 11:-0.1681277 12:-4.5686603 13:0.30054125 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:268.80295 2:0.82133687 3:10.77058 4:-0.1553167 5:5.3314476 6:-1.4899468 7:0.8558389 8:-5.599064 9:0.2402347 10:-4.0765667 11:-0.029805716 12:-3.9168906 13:0.20556855 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:265.96033 2:-0.39175543 3:12.180186 4:-1.274842 5:1.7382705 6:-2.4302506 7:0.3516394 8:-3.4046094 9:2.3097448 10:-1.2237861 11:2.1997817 12:-1.888819 13:2.5683494 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:265.3285 2:0.47933534 3:10.015463 4:-1.4009871 5:3.2646806 6:-1.9093878 7:2.169515 8:-2.0038688 9:2.7767923 10:-1.6438614 11:1.1927862 12:-3.2739906 13:2.5297267 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:263.42374 2:-1.0540693 3:10.0675955 4:-1.6795926 5:2.5680268 6:-3.0968833 7:0.6497047 8:-3.5640914 9:1.697329 10:-1.954795 11:0.55931157 12:-3.7736554 13:0.7255941 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:262.12466 2:-1.2079611 3:8.928979 4:-3.0579612 5:1.7713158 6:-1.9323964 7:1.2060881 8:-3.3030806 9:1.2881429 10:-2.7346218 11:0.54252416 12:-4.3292394 13:0.12851292 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:262.8666 2:-2.5071518 3:8.986545 4:-1.1046319 5:4.478872 6:-0.44249937 7:1.7130041 8:-1.5098848 9:2.208834 10:-2.3544967 11:1.3745195 12:-3.6987166 13:0.20815532 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:262.11655 2:-1.2356553 3:9.834405 4:-1.1111536 5:3.5195723 6:-1.9722183 7:1.9012232 8:-2.3099656 9:1.5244724 10:-3.6219714 11:1.6345533 12:-2.3664827 13:1.8410424 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:261.37643 2:-2.5960355 3:10.679348 4:-1.9863231 5:1.4499937 6:-1.2650435 7:2.9154072 8:-2.8321736 9:1.1603798 10:-2.3035955 11:1.2826486 12:-1.7580099 13:2.6789846 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
