2 1:194.4108 2:-2.6598816 3:8.044377 4:-2.9467754 5:0.4407656 6:-3.571076 7:-0.9333684 8:-3.3957975 9:1.8085117 10:-2.9560714 11:2.8717012 12:-0.6491481 13:3.7564635 14:194.4108 15:-2.6598816 16:8.044377 17:-2.9467754 18:0.4407656 19:-3.571076 20:-0.9333684 21:-3.3957975 22:1.8085117 23:-2.9560714 24:2.8717012 25:-0.6491481 26:3.7564635 
2 1:262.1678 2:-2.5593846 3:9.183687 4:-1.7220005 5:1.7513199 6:-2.6273468 7:0.67154217 8:-3.1204016 9:2.2768788 10:-0.9160875 11:1.6189594 12:-2.9109201 13:1.5419998 14:262.1678 15:-2.5593846 16:9.183687 17:-1.7220005 18:1.7513199 19:-2.6273468 20:0.67154217 21:-3.1204016 22:2.2768788 23:-0.9160875 24:1.6189594 25:-2.9109201 26:1.5419998 
2 1:255.7861 2:-6.027739 3:7.696262 4:-1.3889365 5:1.8785136 6:-3.425722 7:0.17527543 8:-3.0043092 9:1.4485905 10:-1.4773772 11:2.2597058 12:-1.3382406 13:1.9675794 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.9449 2:-4.418931 3:7.7517815 4:-3.720132 5:1.6306057 6:-2.7948868 7:-0.46499887 8:-3.195704 9:-0.8030815 10:-2.6379168 11:2.1505692 12:-1.8869907 13:0.51139474 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:257.29233 2:-4.756161 3:6.6209793 4:-4.990097 5:0.1268789 6:-3.5695734 7:0.88207275 8:-1.1435869 9:1.0351124 10:-2.0963678 11:2.0650961 12:-2.81329 13:0.35283208 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:257.30264 2:-4.390537 3:9.217393 4:-2.6676035 5:1.7187105 6:-1.6149896 7:0.90467507 8:-0.9749787 9:1.5535281 10:-2.3609853 11:2.466602 12:-2.1626217 13:0.37653 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:257.71198 2:-5.3552365 3:7.421276 4:-3.27351 5:2.5705166 6:-2.207468 7:0.94835204 8:-1.3488624 9:2.4329262 10:0.500525 11:3.4192746 12:-0.8112767 13:1.6635283 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.96536 2:-2.8639517 3:8.089546 4:-2.8540359 5:1.2540143 6:-3.1508498 7:1.1632396 8:-0.51000494 9:3.4434984 10:-1.3246353 11:2.327825 12:-1.1716465 13:1.5459418 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.71848 2:-4.823877 3:8.048715 4:-2.8499532 5:1.9682367 6:-3.4667144 7:0.40428683 8:-0.73484457 9:2.8158464 10:-0.3786747 11:2.4313552 12:-0.97831 13:2.7350118 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:258.16364 2:-3.7182908 3:9.728169 4:-2.736126 5:0.50833696 6:-1.55271 7:1.1810826 8:-3.0191576 9:0.82207054 10:-1.5617579 11:3.2033288 12:-1.0947163 13:2.2093403 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:256.6311 2:-3.781714 3:9.600563 4:-2.557794 5:0.9927373 6:-0.60026807 7:3.393316 8:-2.0094833 9:1.7616185 10:-1.719409 11:2.0768342 12:-0.7498009 13:2.5131202 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
