2 1:210.18407 2:-4.2651505 3:6.447811 4:-6.359231 5:-0.8069107 6:-5.114406 7:-0.12834169 8:-1.6420346 9:2.8707502 10:-1.8565786 11:3.26283 12:-0.5931213 13:3.3738222 14:210.18407 15:-4.2651505 16:6.447811 17:-6.359231 18:-0.8069107 19:-5.114406 20:-0.12834169 21:-1.6420346 22:2.8707502 23:-1.8565786 24:3.26283 25:-0.5931213 26:3.3738222 
2 1:260.4609 2:-2.875793 3:8.649436 4:-1.8766109 5:1.625507 6:-3.1569679 7:0.19510083 8:-1.5997901 9:1.9407687 10:-2.0725613 11:2.260699 12:-2.1350813 13:2.6702895 14:260.4609 15:-2.875793 16:8.649436 17:-1.8766109 18:1.625507 19:-3.1569679 20:0.19510083 21:-1.5997901 22:1.9407687 23:-2.0725613 24:2.260699 25:-2.1350813 26:2.6702895 
2 1:259.8965 2:-3.8720777 3:7.582114 4:-4.376435 5:1.9687572 6:-1.4868759 7:1.2464018 8:-0.079446465 9:2.0635383 10:-0.64307165 11:3.1589108 12:-1.9113438 13:1.2345313 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.01904 2:-3.2326512 3:7.4647737 4:-4.0921855 5:0.65894955 6:-2.0404613 7:1.4107631 8:-0.47772673 9:2.3131757 10:-1.3470453 11:2.4189227 12:-3.0941732 13:-0.35479137 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.67834 2:-3.6559796 3:7.083234 4:-2.5712688 5:3.4268064 6:-1.199975 7:2.038624 8:-1.7456276 9:1.9617767 10:-1.8654917 11:1.3555291 12:-1.4165359 13:2.4080136 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:260.5068 2:-3.0915465 3:8.195841 4:-1.9912194 5:1.335426 6:-3.1584759 7:1.4154365 8:-2.2985556 9:2.1675825 10:-1.7361847 11:2.428051 12:-2.855387 13:0.9703039 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:257.7921 2:-4.2737913 3:5.004663 4:-5.9342394 5:-0.6426855 6:-3.784983 7:-0.27209282 8:-3.5139644 9:1.5602571 10:-2.5489109 11:1.3517594 12:-2.6831453 13:1.3865103 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:259.94794 2:-2.1643753 3:8.788371 4:-3.4086256 5:1.0627136 6:-2.68272 7:0.35744655 8:-4.1764183 9:1.2088635 10:-2.886148 11:1.1881363 12:-3.0064523 13:0.563556 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:262.47366 2:-2.0497844 3:8.697249 4:-2.2922733 5:1.7658217 6:-2.0807421 7:2.2701213 8:-1.9590144 9:2.6274717 10:-1.6646634 11:1.6779426 12:-1.7519257 13:2.543123 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:264.5777 2:-1.4470702 3:9.80703 4:-1.358906 5:2.4403346 6:-2.89419 7:2.4038775 8:-1.2930695 9:2.358649 10:-1.3437145 11:1.3797045 12:-3.118495 13:0.41450277 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:262.51123 2:-0.05312804 3:9.743867 4:-2.7621472 5:2.1699474 6:-2.0927484 7:0.2799622 8:-4.080594 9:1.8038092 10:-1.2185413 11:3.7382286 12:-1.0773523 13:1.2757921 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
2 1:263.26523 2:-3.000122 3:8.575683 4:-1.7244664 5:3.2687373 6:-2.7333279 7:1.3705374 8:-2.4655454 9:1.0114061 10:-0.66961217 11:2.8200655 12:-0.7967896 13:1.7847677 14:88.5471 15:3.9534583 16:4.627368 17:-1.7209857 18:0.5745674 19:0.068330966 20:2.497487 21:-0.2119466 22:1.6779565 23:-1.1325449 24:0.98733526 25:-0.94158953 26:0.7761073 
