2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:172.15413 2:5.6072736 3:1.1984425 4:-1.3052739 5:3.680056 6:-3.6717203 7:2.8322444 8:-2.7892182 9:3.4019375 10:-2.6821315 11:3.1467907 12:-3.109547 13:3.4117954 14:172.15413 15:5.6072736 16:1.1984425 17:-1.3052739 18:3.680056 19:-3.6717203 20:2.8322444 21:-2.7892182 22:3.4019375 23:-2.6821315 24:3.1467907 25:-3.109547 26:3.4117954 
2 1:207.37003 2:6.475292 3:1.6914649 4:-0.89655113 5:4.3147683 6:-4.0615582 7:3.1161788 8:-2.9695594 9:3.6263287 10:-3.0489855 11:3.3744702 12:-3.2910998 13:3.7346547 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:207.37003 2:6.475292 3:1.6914649 4:-0.89655113 5:4.3147683 6:-4.0615582 7:3.1161788 8:-2.9695594 9:3.6263287 10:-3.0489855 11:3.3744702 12:-3.2910998 13:3.7346547 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:123.30372 2:-2.2913418 3:3.8826556 4:-2.3156526 5:3.3503864 6:-6.403605 7:3.5388062 8:-4.9958286 9:3.190972 10:-1.9032007 11:4.5314155 12:0.6715398 13:6.2497034 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:123.30372 2:-2.2913418 3:3.8826556 4:-2.3156526 5:3.3503864 6:-6.403605 7:3.5388062 8:-4.9958286 9:3.190972 10:-1.9032007 11:4.5314155 12:0.6715398 13:6.2497034 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:156.88173 2:16.265312 3:7.337298 4:-6.838737 5:6.240104 6:-1.8251253 7:9.648894 8:-4.6785183 9:-1.1272846 10:-5.8461356 11:0.69804657 12:-4.7370906 13:4.2671337 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:156.88173 2:16.265312 3:7.337298 4:-6.838737 5:6.240104 6:-1.8251253 7:9.648894 8:-4.6785183 9:-1.1272846 10:-5.8461356 11:0.69804657 12:-4.7370906 13:4.2671337 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:146.62567 2:16.634823 3:8.963407 4:-4.2740283 5:5.1002417 6:-4.5119076 7:6.8741603 8:-7.224472 9:-1.4106979 10:-8.394716 11:1.5464889 12:-2.6707873 13:3.0538504 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:146.62567 2:16.634823 3:8.963407 4:-4.2740283 5:5.1002417 6:-4.5119076 7:6.8741603 8:-7.224472 9:-1.4106979 10:-8.394716 11:1.5464889 12:-2.6707873 13:3.0538504 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:120.57579 2:-1.1481369 3:5.466844 4:-1.9659157 5:1.4856274 6:-6.9993205 7:1.4689565 8:-3.0315533 9:2.9021802 10:-2.0395076 11:1.9333826 12:-5.012119 13:3.467115 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:120.57579 2:-1.1481369 3:5.466844 4:-1.9659157 5:1.4856274 6:-6.9993205 7:1.4689565 8:-3.0315533 9:2.9021802 10:-2.0395076 11:1.9333826 12:-5.012119 13:3.467115 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:122.69178 2:-2.5783045 3:2.9602876 4:-1.6604278 5:5.4002175 6:-3.7214057 7:2.0006344 8:-2.2234201 9:1.118884 10:-2.1605618 11:1.5143429 12:-3.679634 13:3.9114475 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:122.69178 2:-2.5783045 3:2.9602876 4:-1.6604278 5:5.4002175 6:-3.7214057 7:2.0006344 8:-2.2234201 9:1.118884 10:-2.1605618 11:1.5143429 12:-3.679634 13:3.9114475 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:114.100464 2:-0.45994174 3:4.503888 4:-4.615532 5:0.37083033 6:-2.2701476 7:2.872444 8:-4.069933 9:3.6072178 10:-3.3723276 11:1.0355265 12:-2.9430768 13:4.3392158 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:114.100464 2:-0.45994174 3:4.503888 4:-4.615532 5:0.37083033 6:-2.2701476 7:2.872444 8:-4.069933 9:3.6072178 10:-3.3723276 11:1.0355265 12:-2.9430768 13:4.3392158 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:123.920815 2:1.1110731 3:-0.055980176 4:-2.9848952 5:4.3929877 6:-2.6702485 7:1.2455885 8:-4.3625755 9:-0.4142279 10:-2.819333 11:2.5656698 12:-3.9717216 13:5.019082 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
2 1:123.920815 2:1.1110731 3:-0.055980176 4:-2.9848952 5:4.3929877 6:-2.6702485 7:1.2455885 8:-4.3625755 9:-0.4142279 10:-2.819333 11:2.5656698 12:-3.9717216 13:5.019082 14:79.33279 15:5.144556 16:1.4968984 17:0.7474297 18:2.9136283 19:-2.5438836 20:-0.8783717 21:-1.5127672 22:2.356472 23:-2.2439358 24:0.70401335 25:-1.0592278 26:1.1461931 
