1 1:106.53935 2:3.6458168 3:2.7209742 4:-4.7196097 5:1.5357813 6:-3.7659466 7:0.061247602 8:-4.9079103 9:0.3378071 10:-4.0687976 11:2.7188532 12:-1.4856855 13:1.5699081 14:106.53935 15:3.6458168 16:2.7209742 17:-4.7196097 18:1.5357813 19:-3.7659466 20:0.061247602 21:-4.9079103 22:0.3378071 23:-4.0687976 24:2.7188532 25:-1.4856855 26:1.5699081 
1 1:163.89684 2:1.5291165 3:9.296783 4:-2.068427 5:-1.3646517 6:-2.8074574 7:1.4637246 8:-2.986674 9:0.3237908 10:-3.7368293 11:2.6763296 12:-2.237828 13:5.168023 14:163.89684 15:1.5291165 16:9.296783 17:-2.068427 18:-1.3646517 19:-2.8074574 20:1.4637246 21:-2.986674 22:0.3237908 23:-3.7368293 24:2.6763296 25:-2.237828 26:5.168023 
1 1:163.20776 2:-2.3320708 3:4.594813 4:-0.256105 5:4.1452394 6:-2.5287719 7:1.9820056 8:-0.57721907 9:3.026517 10:-0.6191978 11:2.0791276 12:-1.5323076 13:3.7688668 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:163.20776 2:-2.3320708 3:4.594813 4:-0.256105 5:4.1452394 6:-2.5287719 7:1.9820056 8:-0.57721907 9:3.026517 10:-0.6191978 11:2.0791276 12:-1.5323076 13:3.7688668 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:163.68408 2:-0.5416545 3:6.0407114 4:-0.07213369 5:6.2450304 6:-2.6835072 7:-2.2507362 8:-2.4461834 9:-0.12773675 10:-5.0309124 11:3.4753394 12:-2.603984 13:2.4083617 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:163.68408 2:-0.5416545 3:6.0407114 4:-0.07213369 5:6.2450304 6:-2.6835072 7:-2.2507362 8:-2.4461834 9:-0.12773675 10:-5.0309124 11:3.4753394 12:-2.603984 13:2.4083617 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:170.74629 2:2.150809 3:5.1020384 4:-0.627045 5:6.9577694 6:-0.8323072 7:0.017927404 8:-4.685664 9:2.7810342 10:-3.5426211 11:3.3879082 12:-0.94776857 13:0.4178995 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:170.74629 2:2.150809 3:5.1020384 4:-0.627045 5:6.9577694 6:-0.8323072 7:0.017927404 8:-4.685664 9:2.7810342 10:-3.5426211 11:3.3879082 12:-0.94776857 13:0.4178995 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:169.21407 2:3.200523 3:6.0174847 4:-1.5682695 5:3.7139423 6:-0.48657328 7:4.508939 8:-0.641139 9:2.236791 10:-2.3686233 11:2.9867415 12:-1.6921619 13:4.3723288 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:169.21407 2:3.200523 3:6.0174847 4:-1.5682695 5:3.7139423 6:-0.48657328 7:4.508939 8:-0.641139 9:2.236791 10:-2.3686233 11:2.9867415 12:-1.6921619 13:4.3723288 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:165.3947 2:1.023345 3:5.3498363 4:-6.6320095 5:0.7982522 6:-2.8720338 7:-0.41670254 8:-1.3202963 9:4.2926435 10:-0.7358195 11:2.372374 12:-2.0253494 13:2.1137254 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
1 1:165.3947 2:1.023345 3:5.3498363 4:-6.6320095 5:0.7982522 6:-2.8720338 7:-0.41670254 8:-1.3202963 9:4.2926435 10:-0.7358195 11:2.372374 12:-2.0253494 13:2.1137254 14:77.5076 15:3.885683 16:3.7503402 17:0.02202389 18:2.604044 19:-0.8252311 20:-0.9787411 21:-1.5205436 22:1.9270947 23:-1.2530503 24:0.2441546 25:-0.2611713 26:0.94488335 
