1 1:153.51578 2:-4.451407 3:3.163063 4:-1.6641029 5:2.368582 6:-3.428516 7:-1.9427423 8:-4.1466365 9:1.3624631 10:-1.8410956 11:1.6397476 12:-3.0377533 13:2.103493 14:153.51578 15:-4.451407 16:3.163063 17:-1.6641029 18:2.368582 19:-3.428516 20:-1.9427423 21:-4.1466365 22:1.3624631 23:-1.8410956 24:1.6397476 25:-3.0377533 26:2.103493 
1 1:302.41556 2:19.60996 3:8.215329 4:-2.2829483 5:5.8333993 6:-4.40159 7:4.5225863 8:-4.7288113 9:5.1559043 10:-4.012855 11:4.6369033 12:-4.6789565 13:5.2621818 14:302.41556 15:19.60996 16:8.215329 17:-2.2829483 18:5.8333993 19:-4.40159 20:4.5225863 21:-4.7288113 22:5.1559043 23:-4.012855 24:4.6369033 25:-4.6789565 26:5.2621818 
1 1:250.47154 2:15.330109 3:12.113463 4:-3.753037 5:7.522892 6:-5.6246576 7:5.4432077 8:-5.41906 9:6.416645 10:-3.1074839 11:5.6543703 12:-5.5310926 13:5.243788 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:250.47154 2:15.330109 3:12.113463 4:-3.753037 5:7.522892 6:-5.6246576 7:5.4432077 8:-5.41906 9:6.416645 10:-3.1074839 11:5.6543703 12:-5.5310926 13:5.243788 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:205.68378 2:1.8777415 3:8.694988 4:-4.410473 5:6.0414824 6:-5.539713 7:5.197348 8:-5.018213 9:6.0045524 10:-4.238153 11:5.3875074 12:-4.7837515 13:5.49514 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:205.68378 2:1.8777415 3:8.694988 4:-4.410473 5:6.0414824 6:-5.539713 7:5.197348 8:-5.018213 9:6.0045524 10:-4.238153 11:5.3875074 12:-4.7837515 13:5.49514 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:203.00302 2:2.3050995 3:8.00797 4:-3.758954 5:5.4263644 6:-4.850969 7:3.6962628 8:-4.79429 9:4.8157225 10:-4.001504 11:4.470808 12:-4.453568 13:4.9393597 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:203.00302 2:2.3050995 3:8.00797 4:-3.758954 5:5.4263644 6:-4.850969 7:3.6962628 8:-4.79429 9:4.8157225 10:-4.001504 11:4.470808 12:-4.453568 13:4.9393597 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:184.83203 2:3.9817638 3:8.686307 4:-2.42437 5:5.7172294 6:-3.6041787 7:4.232198 8:-4.398957 9:5.1639786 10:-3.3945403 11:5.4570055 12:-3.5073643 13:5.195208 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:184.83203 2:3.9817638 3:8.686307 4:-2.42437 5:5.7172294 6:-3.6041787 7:4.232198 8:-4.398957 9:5.1639786 10:-3.3945403 11:5.4570055 12:-3.5073643 13:5.195208 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:167.48703 2:4.841743 3:8.060895 4:-3.8157456 5:3.6069949 6:-4.0186915 7:4.0748434 8:-3.7800653 9:4.493594 10:-4.8027654 11:5.0172815 12:-2.5728462 13:5.523447 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:167.48703 2:4.841743 3:8.060895 4:-3.8157456 5:3.6069949 6:-4.0186915 7:4.0748434 8:-3.7800653 9:4.493594 10:-4.8027654 11:5.0172815 12:-2.5728462 13:5.523447 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:159.69475 2:6.04088 3:6.7998085 4:-2.297455 5:4.889414 6:0.099480696 7:5.5052447 8:-3.0473397 9:4.528829 10:-4.6288905 11:4.160991 12:-3.87628 13:3.3416603 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:159.69475 2:6.04088 3:6.7998085 4:-2.297455 5:4.889414 6:0.099480696 7:5.5052447 8:-3.0473397 9:4.528829 10:-4.6288905 11:4.160991 12:-3.87628 13:3.3416603 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:156.80807 2:5.4925356 3:4.904417 4:-2.8481832 5:2.8482475 6:-4.4853773 7:-0.9042134 8:-4.406582 9:5.439922 10:-0.81982267 11:6.807796 12:-0.681746 13:4.0580544 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:156.80807 2:5.4925356 3:4.904417 4:-2.8481832 5:2.8482475 6:-4.4853773 7:-0.9042134 8:-4.406582 9:5.439922 10:-0.81982267 11:6.807796 12:-0.681746 13:4.0580544 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
1 1:165.6275 2:-4.687884 3:12.103224 4:-1.0862879 5:4.4412026 6:-1.3682479 7:3.7285645 8:-3.2478867 9:0.26417193 10:-3.877242 11:1.3297457 12:-1.2580627 13:-0.59074223 14:100.63766 15:3.4424312 16:0.8861156 17:-1.6437753 18:2.2164736 19:-0.92932755 20:-1.0437915 21:-1.3028543 22:1.5353626 23:-0.36721757 24:1.9803278 25:-1.7459731 26:1.5577703 
