1 1:91.810074 2:-7.417111 3:4.037914 4:0.073513664 5:3.5210261 6:-1.5201652 7:-0.6101473 8:-3.0065017 9:0.5874594 10:-1.1316831 11:1.2954348 12:-3.6241047 13:0.4802199 14:91.810074 15:-7.417111 16:4.037914 17:0.073513664 18:3.5210261 19:-1.5201652 20:-0.6101473 21:-3.0065017 22:0.5874594 23:-1.1316831 24:1.2954348 25:-3.6241047 26:0.4802199 
1 1:320.91586 2:7.252749 3:5.1032033 4:-0.61206543 5:2.502344 6:-2.836203 7:2.9204576 8:-2.7482176 9:3.5306108 10:-2.7877023 11:3.285917 12:-3.5155232 13:3.8918989 14:320.91586 15:7.252749 16:5.1032033 17:-0.61206543 18:2.502344 19:-2.836203 20:2.9204576 21:-2.7482176 22:3.5306108 23:-2.7877023 24:3.285917 25:-3.5155232 26:3.8918989 
1 1:306.57654 2:5.0982356 3:8.013529 4:-1.5532179 5:3.9455454 6:-3.2635925 7:3.6512773 8:-2.7979386 9:3.8383622 10:-2.6669466 11:3.3306837 12:-3.2689888 13:3.843444 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:306.57654 2:5.0982356 3:8.013529 4:-1.5532179 5:3.9455454 6:-3.2635925 7:3.6512773 8:-2.7979386 9:3.8383622 10:-2.6669466 11:3.3306837 12:-3.2689888 13:3.843444 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:198.2266 2:-0.15947582 3:8.496837 4:-3.9849434 5:4.904777 6:-6.2686787 7:5.6703205 8:-5.334825 9:6.72234 10:-3.1702332 11:5.2220836 12:-4.835535 13:5.9879737 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:198.2266 2:-0.15947582 3:8.496837 4:-3.9849434 5:4.904777 6:-6.2686787 7:5.6703205 8:-5.334825 9:6.72234 10:-3.1702332 11:5.2220836 12:-4.835535 13:5.9879737 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:193.73653 2:-0.6963157 3:7.3619323 4:-2.0553837 5:3.607906 6:-5.4218526 7:3.731645 8:-5.2534676 9:4.3928323 10:-6.43608 11:5.4252543 12:-4.9724293 13:5.5051417 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:193.73653 2:-0.6963157 3:7.3619323 4:-2.0553837 5:3.607906 6:-5.4218526 7:3.731645 8:-5.2534676 9:4.3928323 10:-6.43608 11:5.4252543 12:-4.9724293 13:5.5051417 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:186.02556 2:-3.8432138 3:6.83217 4:-2.8451428 5:2.7092695 6:-4.735033 7:2.1442332 8:-3.943091 9:4.049686 10:-2.3091826 11:5.8879085 12:-3.9385219 13:5.052145 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:186.02556 2:-3.8432138 3:6.83217 4:-2.8451428 5:2.7092695 6:-4.735033 7:2.1442332 8:-3.943091 9:4.049686 10:-2.3091826 11:5.8879085 12:-3.9385219 13:5.052145 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:180.58145 2:-1.2445745 3:8.064259 4:-0.83907455 5:3.9114807 6:-5.253755 7:1.8105675 8:-3.9777887 9:5.836513 10:-1.1795299 11:2.7804163 12:-3.4405677 13:2.2250645 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:180.58145 2:-1.2445745 3:8.064259 4:-0.83907455 5:3.9114807 6:-5.253755 7:1.8105675 8:-3.9777887 9:5.836513 10:-1.1795299 11:2.7804163 12:-3.4405677 13:2.2250645 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:173.58517 2:-1.785576 3:3.7864256 4:-3.220811 5:2.337652 6:-1.1208063 7:4.3577776 8:-1.5164092 9:6.915448 10:-1.2675985 11:3.515953 12:-1.9458857 13:3.6924076 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:173.58517 2:-1.785576 3:3.7864256 4:-3.220811 5:2.337652 6:-1.1208063 7:4.3577776 8:-1.5164092 9:6.915448 10:-1.2675985 11:3.515953 12:-1.9458857 13:3.6924076 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:170.89963 2:0.65047 3:6.4135084 4:0.7536481 5:1.6170365 6:-1.0834792 7:2.4448767 8:-2.6646922 9:3.8594546 10:-4.2982383 11:1.4529536 12:-3.430742 13:2.0103233 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:170.89963 2:0.65047 3:6.4135084 4:0.7536481 5:1.6170365 6:-1.0834792 7:2.4448767 8:-2.6646922 9:3.8594546 10:-4.2982383 11:1.4529536 12:-3.430742 13:2.0103233 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:164.51634 2:0.61267024 3:9.082288 4:2.0113063 5:4.9455557 6:-4.4585037 7:0.6999454 8:-0.3491947 9:3.0976703 10:0.19608794 11:3.746998 12:-2.9462373 13:2.3762584 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:164.51634 2:0.61267024 3:9.082288 4:2.0113063 5:4.9455557 6:-4.4585037 7:0.6999454 8:-0.3491947 9:3.0976703 10:0.19608794 11:3.746998 12:-2.9462373 13:2.3762584 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:150.7551 2:1.3174179 3:5.4500575 4:-2.5978093 5:4.424961 6:-0.6655186 7:1.3670095 8:-1.1377702 9:4.5663857 10:-2.8642566 11:4.0257306 12:-3.28048 13:2.40097 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:150.7551 2:1.3174179 3:5.4500575 4:-2.5978093 5:4.424961 6:-0.6655186 7:1.3670095 8:-1.1377702 9:4.5663857 10:-2.8642566 11:4.0257306 12:-3.28048 13:2.40097 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:158.20123 2:-4.956632 3:0.46102193 4:1.5168189 5:-0.1420996 6:-2.0850873 7:5.0709796 8:-1.5108556 9:4.420456 10:-1.9786875 11:5.4137106 12:-3.8259344 13:4.7999144 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:158.20123 2:-4.956632 3:0.46102193 4:1.5168189 5:-0.1420996 6:-2.0850873 7:5.0709796 8:-1.5108556 9:4.420456 10:-1.9786875 11:5.4137106 12:-3.8259344 13:4.7999144 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:157.71365 2:1.3534389 3:4.4403358 4:-0.35084274 5:3.558938 6:-2.570686 7:3.1870148 8:0.27540383 9:2.3128006 10:-4.168954 11:1.6326795 12:-4.0396748 13:4.87299 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:157.71365 2:1.3534389 3:4.4403358 4:-0.35084274 5:3.558938 6:-2.570686 7:3.1870148 8:0.27540383 9:2.3128006 10:-4.168954 11:1.6326795 12:-4.0396748 13:4.87299 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
