1 1:128.70244 2:-5.3040633 3:-2.068459 4:-4.6292357 5:1.8977755 6:-0.666529 7:-0.93437403 8:-3.8831944 9:6.846763 10:0.5959882 11:2.7854562 12:-1.0798585 13:2.1909688 14:128.70244 15:-5.3040633 16:-2.068459 17:-4.6292357 18:1.8977755 19:-0.666529 20:-0.93437403 21:-3.8831944 22:6.846763 23:0.5959882 24:2.7854562 25:-1.0798585 26:2.1909688 
1 1:336.5068 2:10.784594 3:4.2765603 4:-3.232653 5:5.3209863 6:-3.757813 7:2.800104 8:-2.801467 9:3.3470345 10:-2.6630056 11:3.1901574 12:-3.3533237 13:3.7867982 14:336.5068 15:10.784594 16:4.2765603 17:-3.232653 18:5.3209863 19:-3.757813 20:2.800104 21:-2.801467 22:3.3470345 23:-2.6630056 24:3.1901574 25:-3.3533237 26:3.7867982 
1 1:315.0304 2:8.727425 3:7.3087573 4:-4.1366973 5:6.8195724 6:-4.1831093 7:3.481298 8:-2.8926096 9:3.6116617 10:-2.552649 11:3.225196 12:-3.1300385 13:3.6725779 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:315.0304 2:8.727425 3:7.3087573 4:-4.1366973 5:6.8195724 6:-4.1831093 7:3.481298 8:-2.8926096 9:3.6116617 10:-2.552649 11:3.225196 12:-3.1300385 13:3.6725779 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:194.09494 2:0.53860456 3:10.132248 4:-5.130009 5:6.6350365 6:-6.7559175 7:5.493832 8:-4.4861927 9:5.3094506 10:-5.1810436 11:5.698855 12:-6.3930717 13:5.9747 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:194.09494 2:0.53860456 3:10.132248 4:-5.130009 5:6.6350365 6:-6.7559175 7:5.493832 8:-4.4861927 9:5.3094506 10:-5.1810436 11:5.698855 12:-6.3930717 13:5.9747 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:206.9478 2:2.3341234 3:8.526402 4:-3.794644 5:6.790838 6:-4.0429564 7:4.8344016 8:-4.654121 9:4.407052 10:-3.8516736 11:4.4392076 12:-4.450904 13:4.002519 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:206.9478 2:2.3341234 3:8.526402 4:-3.794644 5:6.790838 6:-4.0429564 7:4.8344016 8:-4.654121 9:4.407052 10:-3.8516736 11:4.4392076 12:-4.450904 13:4.002519 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:189.94795 2:2.3547359 3:8.1320715 4:-2.8177702 5:4.128263 6:-4.271082 7:4.0432057 8:-4.40363 9:4.698787 10:-2.5046437 11:5.741565 12:-3.2917504 13:4.641558 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:189.94795 2:2.3547359 3:8.1320715 4:-2.8177702 5:4.128263 6:-4.271082 7:4.0432057 8:-4.40363 9:4.698787 10:-2.5046437 11:5.741565 12:-3.2917504 13:4.641558 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
1 1:179.0767 2:3.8989797 3:8.426876 4:-3.6642318 5:6.3071465 6:-4.3554254 7:1.5342019 8:-4.307548 9:2.619844 10:-3.1792126 11:2.7334466 12:-4.438395 13:4.784523 14:94.73217 15:4.1390815 16:0.075987786 17:-0.3215604 18:1.5988605 19:-1.1590058 20:-0.5584697 21:-2.2291002 22:2.510568 23:-0.7337469 24:1.3972174 25:-1.4007285 26:1.6056913 
