1 1:-8.779255 2:-19.56631 3:2.031982 4:-1.7196842 5:0.76044804 6:-1.0682027 7:0.74320203 8:-0.8630574 9:0.9701695 10:-0.8479823 11:1.7006289 12:-0.79580915 13:1.2427422 14:-8.779255 15:-19.56631 16:2.031982 17:-1.7196842 18:0.76044804 19:-1.0682027 20:0.74320203 21:-0.8630574 22:0.9701695 23:-0.8479823 24:1.7006289 25:-0.79580915 26:1.2427422 
1 1:243.83632 2:-2.9050486 3:5.2766953 4:-3.0623157 5:-0.031669393 6:-0.46217784 7:2.2881596 8:0.13103676 9:2.8971708 10:-4.415442 11:3.290714 12:-3.5584805 13:1.6259322 14:243.83632 15:-2.9050486 16:5.2766953 17:-3.0623157 18:-0.031669393 19:-0.46217784 20:2.2881596 21:0.13103676 22:2.8971708 23:-4.415442 24:3.290714 25:-3.5584805 26:1.6259322 
1 1:245.30907 2:-0.032549355 3:6.2828493 4:-1.3595688 5:1.8288814 6:-0.97479814 7:1.1105647 8:-2.3984127 9:1.5741652 10:-3.4167416 11:5.1278977 12:-1.2756556 13:3.7894583 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:245.1483 2:-6.50614E-4 3:7.265971 4:-2.3695421 5:1.5971507 6:-1.0792239 7:1.2441059 8:-2.293927 9:2.1082392 10:-2.968403 11:3.068595 12:-0.34917086 13:4.262255 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:244.29796 2:2.4187877 3:7.3662996 4:3.1517994 5:2.4075744 6:-3.8557403 7:2.737528 8:0.050563265 9:3.201229 10:-4.0046945 11:3.6763072 12:-3.723101 13:2.664478 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:238.92447 2:2.6916504 3:8.331223 4:1.3559984 5:2.90438 6:-2.1260114 7:1.8755982 8:-0.5401389 9:0.59687936 10:-4.0580783 11:4.3556056 12:-3.809945 13:1.5314386 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:236.23349 2:-0.44044563 3:4.885824 4:-2.0349042 5:1.0540854 6:0.4887638 7:3.431588 8:0.15679537 9:3.7250721 10:-2.222583 11:4.746791 12:-2.238246 13:3.1424456 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:237.97336 2:-0.243992 3:3.3045437 4:-2.559102 5:1.7469424 6:0.99711376 7:4.341261 8:0.20035334 9:2.7832913 10:-3.3322952 11:3.9523504 12:-1.4706899 13:2.966439 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:240.28345 2:-0.50996184 3:3.6004152 4:-0.93829167 5:4.7408805 6:-1.5327994 7:2.7913256 8:0.6942665 9:2.6062427 10:-3.2345219 11:1.7738775 12:-1.3671112 13:4.339486 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:240.41844 2:0.77355945 3:3.256995 4:-3.9299018 5:0.9036921 6:-3.5304642 7:2.2215831 8:0.4614511 9:4.2134833 10:-3.2211132 11:2.1700704 12:-1.3614744 13:3.5270774 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
1 1:245.55728 2:2.3515596 3:5.2264366 4:-1.3518273 5:1.3951768 6:-4.785971 7:4.43459 8:-0.45079568 9:2.3137648 10:-0.93120575 11:4.4006343 12:-0.8321818 13:3.5376348 14:84.52499 15:8.128857 16:2.7935855 17:-3.0206728 18:1.503968 19:-0.9635846 20:0.5756458 21:-1.8537886 22:1.7535696 23:-2.045941 24:0.39769447 25:-1.8186147 26:1.9853085 
