2 1:182.2866 2:0.4313131 3:4.1379313 4:-6.324464 5:-1.7975731 6:-4.6948786 7:1.4699185 8:-0.43367738 9:2.4150906 10:-3.3256912 11:1.8060346 12:0.9777639 13:2.2192247 14:182.2866 15:0.4313131 16:4.1379313 17:-6.324464 18:-1.7975731 19:-4.6948786 20:1.4699185 21:-0.43367738 22:2.4150906 23:-3.3256912 24:1.8060346 25:0.9777639 26:2.2192247 
2 1:229.89296 2:5.2288995 3:2.7158577 4:-5.2623687 5:0.82871187 6:-0.80592036 7:5.4564776 8:-2.5768585 9:1.8037316 10:-1.1118605 11:5.2285767 12:-2.7921977 13:2.9433699 14:229.89296 15:5.2288995 16:2.7158577 17:-5.2623687 18:0.82871187 19:-0.80592036 20:5.4564776 21:-2.5768585 22:1.8037316 23:-1.1118605 24:5.2285767 25:-2.7921977 26:2.9433699 
2 1:229.79753 2:3.0092096 3:3.7377627 4:-3.5424852 5:3.5017579 6:-2.412447 7:4.943913 8:-0.7312363 9:5.110261 10:-1.0426548 11:3.8918767 12:-0.5777072 13:2.8849304 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.13393 2:3.1222262 3:3.131778 4:-3.3724103 5:2.4220603 6:-0.050040428 7:7.2375393 8:-0.012095887 9:5.227969 10:-1.5093055 11:4.555267 12:-0.043044914 13:5.810649 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:229.64566 2:4.8288703 3:2.3117032 4:-2.11738 5:1.1077065 6:-3.3784733 7:3.1371672 8:-2.0292442 9:5.8469033 10:-1.1034385 11:3.8338525 12:-2.9586911 13:3.2056663 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.21832 2:2.9906347 3:0.81424606 4:-2.4440424 5:3.168394 6:-1.7983292 7:5.031436 8:-2.0639725 9:3.9436848 10:-1.9684955 11:3.9143684 12:-3.1305273 13:1.6272864 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:229.39738 2:3.6754773 3:6.1116757 4:-3.8411584 5:2.7723827 6:-0.5549652 7:6.287106 8:-2.0736685 9:3.7385576 10:-2.86923 11:0.56247073 12:-2.0171297 13:3.2652013 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:231.83928 2:5.550894 3:6.9790606 4:-3.0218484 5:3.0747032 6:-2.5349889 7:4.978822 8:-2.529346 9:2.893671 10:-2.0466983 11:2.0387816 12:-1.9601182 13:4.4938273 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.3464 2:4.6071076 3:3.8976777 4:-4.0576077 5:3.3565264 6:-2.4043388 7:1.8460882 8:-0.92773986 9:3.1717267 10:-2.1197822 11:4.227883 12:-0.32177305 13:4.1260214 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.4592 2:5.7258735 3:4.792589 4:-3.6121266 5:3.5616386 6:-0.5511774 7:2.8407557 8:-1.1691455 9:2.7496328 10:-3.2382495 11:2.5610504 12:-2.0961692 13:2.9899225 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.20222 2:2.8297508 3:3.4578521 4:-3.3220074 5:2.4277442 6:-3.1724927 7:3.3609173 8:-2.5435414 9:2.6133273 10:-2.0967903 11:1.521486 12:-3.3745449 13:2.2800517 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
