2 1:148.73845 2:5.965197 3:4.819879 4:-0.81120324 5:2.5759306 6:-8.238283 7:-0.101535924 8:-2.9379292 9:3.5203135 10:-3.3485343 11:5.0508685 12:-2.246202 13:-0.31486708 14:148.73845 15:5.965197 16:4.819879 17:-0.81120324 18:2.5759306 19:-8.238283 20:-0.101535924 21:-2.9379292 22:3.5203135 23:-3.3485343 24:5.0508685 25:-2.246202 26:-0.31486708 
2 1:234.51814 2:4.147289 3:1.0700428 4:-5.0338607 5:2.1875558 6:-4.162956 7:1.5408483 8:-1.9354414 9:3.0583994 10:-1.71113 11:5.194872 12:0.007878812 13:5.148989 14:234.51814 15:4.147289 16:1.0700428 17:-5.0338607 18:2.1875558 19:-4.162956 20:1.5408483 21:-1.9354414 22:3.0583994 23:-1.71113 24:5.194872 25:0.007878812 26:5.148989 
2 1:234.75037 2:1.0239608 3:-0.8247866 4:-5.174121 5:0.8784505 6:-3.0621824 7:0.7634598 8:-2.1362066 9:2.3048663 10:-2.6351101 11:4.282481 12:-2.98426 13:2.0716777 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:235.94458 2:2.3612688 3:-0.26423854 4:-5.8261538 5:0.81722844 6:-2.4932632 7:2.094997 8:-2.402826 9:3.1276238 10:-2.8394275 11:3.8767047 12:-3.274179 13:2.1250706 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:234.6047 2:2.3480363 3:1.3622894 4:-2.2886622 5:1.5045958 6:-2.9894514 7:3.5308192 8:-2.4258993 9:2.406728 10:-1.8166028 11:2.433037 12:-1.87272 13:3.6698656 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:235.50377 2:3.171753 3:1.1356859 4:-3.2252698 5:0.38631096 6:-0.56984943 7:3.9575207 8:-2.385579 9:3.825242 10:-1.1848222 11:4.0269966 12:-1.5204859 13:5.0053167 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:235.76088 2:1.9593866 3:2.6095803 4:-2.878893 5:2.4229724 6:-0.28013727 7:5.5728674 8:-1.4290907 9:5.549245 10:-0.88066053 11:4.4632792 12:-1.6903857 13:2.5632088 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:236.604 2:5.2249074 3:3.6849844 4:-1.4388487 5:2.4638143 6:-2.8804166 7:5.704705 8:-1.6756464 9:4.4694357 10:-1.8604723 11:4.211927 12:-1.789926 13:3.4988523 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:234.27837 2:3.5788698 3:1.634101 4:-4.258906 5:3.2304227 6:-1.7439681 7:6.3137155 8:-1.3730675 9:3.8062294 10:-1.7672012 11:3.398188 12:-1.3216722 13:3.3691657 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:236.8302 2:4.9611917 3:3.1194236 4:-3.8259103 5:2.6434858 6:-1.3624575 7:5.3819785 8:-2.36891 9:5.1313453 10:-1.3208983 11:4.3815675 12:-1.9261818 13:2.9603117 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:233.66849 2:1.5763013 3:2.9515455 4:-2.2847853 5:3.5173855 6:-2.1671283 7:4.4917154 8:-0.9072296 9:4.1573343 10:0.71850055 11:5.0301247 12:-1.747563 13:4.1873236 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:231.68745 2:-0.30676758 3:3.3016434 4:-0.84564763 5:3.4066193 6:-2.2246363 7:4.6482363 8:0.956997 9:3.788082 10:-1.1765472 11:2.0402353 12:-3.131467 13:2.7507637 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:234.30638 2:3.697048 3:2.8668613 4:-2.8984444 5:2.1754897 6:-1.8887502 7:3.0338755 8:-0.9641895 9:2.9530654 10:-2.851722 11:3.821491 12:-3.4089663 13:2.060697 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:234.52852 2:2.6265898 3:1.3993975 4:-4.7923946 5:1.1830534 6:-1.492501 7:4.983317 8:-1.1171434 9:4.233301 10:-1.5929008 11:2.9240086 12:-3.648117 13:2.1065905 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:235.76968 2:2.1370277 3:2.8711889 4:-3.0878658 5:-0.16996253 6:-4.988471 7:3.3117647 8:0.34695777 9:3.0292878 10:-2.9771228 11:4.211652 12:-1.5026531 13:3.6494656 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:234.9932 2:3.7248123 3:1.5474038 4:-2.7125902 5:0.03511299 6:-6.086476 7:3.6617765 8:-1.3137116 9:3.4550147 10:-1.1372267 11:2.7742527 12:-4.2146473 13:2.3460715 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:236.65698 2:3.8676589 3:2.176129 4:-3.5363953 5:0.674972 6:-5.777071 7:2.524323 8:-3.5732665 9:3.2960062 10:-3.088074 11:2.2015207 12:-2.5380373 13:1.4049661 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
2 1:236.71436 2:4.7967815 3:3.8912926 4:-2.9302928 5:0.7580573 6:-5.67181 7:1.9865862 8:-3.4634292 9:3.7036731 10:-2.7951868 11:2.624667 12:-1.5723411 13:2.7639182 14:87.153786 15:9.246072 16:3.3653405 17:-1.1651949 18:2.4985878 19:-3.0299468 20:-0.43937 21:-2.4440985 22:2.223751 23:-0.84401184 24:1.5867001 25:-1.8671975 26:1.3737147 
