2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:123.831604 2:-2.1203475 3:1.031045 4:-6.850893 5:-3.7790017 6:-2.6741753 7:0.47872797 8:-1.0636964 9:2.0228422 10:-1.5108118 11:6.8908277 12:-1.3420318 13:3.6169178 14:123.831604 15:-2.1203475 16:1.031045 17:-6.850893 18:-3.7790017 19:-2.6741753 20:0.47872797 21:-1.0636964 22:2.0228422 23:-1.5108118 24:6.8908277 25:-1.3420318 26:3.6169178 
2 1:188.07893 2:1.517271 3:4.066963 4:-4.9338894 5:-2.5679927 6:-1.8489871 7:1.1697819 8:-4.458553 9:2.6471124 10:-2.518661 11:4.597843 12:-3.598061 13:3.7463925 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:188.07893 2:1.517271 3:4.066963 4:-4.9338894 5:-2.5679927 6:-1.8489871 7:1.1697819 8:-4.458553 9:2.6471124 10:-2.518661 11:4.597843 12:-3.598061 13:3.7463925 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:190.72345 2:2.8380506 3:5.3483467 4:-2.1547086 5:-0.49640492 6:-1.9492809 7:-0.09915357 8:-5.9479723 9:1.9371197 10:-2.471295 11:3.8231177 12:-4.0499325 13:1.4680063 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:190.72345 2:2.8380506 3:5.3483467 4:-2.1547086 5:-0.49640492 6:-1.9492809 7:-0.09915357 8:-5.9479723 9:1.9371197 10:-2.471295 11:3.8231177 12:-4.0499325 13:1.4680063 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:188.18227 2:3.3327622 3:4.463492 4:-4.3840876 5:-0.28017566 6:-4.32476 7:-0.27224743 8:-6.106549 9:3.330628 10:-0.59747267 11:4.8652463 12:-1.2075802 13:2.733328 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:188.18227 2:3.3327622 3:4.463492 4:-4.3840876 5:-0.28017566 6:-4.32476 7:-0.27224743 8:-6.106549 9:3.330628 10:-0.59747267 11:4.8652463 12:-1.2075802 13:2.733328 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:191.00536 2:4.0083156 3:3.7648773 4:-1.528127 5:1.4641625 6:-1.30969 7:1.8469813 8:-5.09115 9:3.013334 10:-0.6860726 11:4.092785 12:-3.0134227 13:2.7710667 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:191.00536 2:4.0083156 3:3.7648773 4:-1.528127 5:1.4641625 6:-1.30969 7:1.8469813 8:-5.09115 9:3.013334 10:-0.6860726 11:4.092785 12:-3.0134227 13:2.7710667 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
2 1:189.04549 2:2.3411243 3:5.278501 4:-1.8212152 5:2.9232643 6:1.1634338 7:4.273712 8:-3.146353 9:4.8964453 10:-1.1896824 11:1.6983404 12:-1.9989598 13:3.996491 14:81.67095 15:2.9035082 16:5.5788817 17:0.57016623 18:1.6352468 19:-1.3387842 20:-1.0002455 21:-3.3021019 22:0.5822682 23:-1.0858581 24:-0.16245824 25:-0.48248258 26:0.40782118 
