1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:196.7284 2:-2.366517 3:0.6228345 4:-12.722732 5:-1.9221253 6:-2.5703204 7:0.77936566 8:-2.9323316 9:0.6752332 10:-1.097099 11:2.6502304 12:0.11262173 13:1.5652671 14:196.7284 15:-2.366517 16:0.6228345 17:-12.722732 18:-1.9221253 19:-2.5703204 20:0.77936566 21:-2.9323316 22:0.6752332 23:-1.097099 24:2.6502304 25:0.11262173 26:1.5652671 
1 1:224.66846 2:4.5577474 3:4.1388516 4:-7.954644 5:1.511511 6:1.3133231 7:2.2142766 8:-3.047104 9:4.0391793 10:-2.5116901 11:4.328895 12:0.3975163 13:3.0022197 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:224.66846 2:4.5577474 3:4.1388516 4:-7.954644 5:1.511511 6:1.3133231 7:2.2142766 8:-3.047104 9:4.0391793 10:-2.5116901 11:4.328895 12:0.3975163 13:3.0022197 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:223.97813 2:1.7011827 3:5.492721 4:-2.543084 5:4.057215 6:-1.2309989 7:0.48945764 8:-0.7592667 9:5.65488 10:-1.854942 11:4.2260494 12:0.42739725 13:0.45036694 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:223.97813 2:1.7011827 3:5.492721 4:-2.543084 5:4.057215 6:-1.2309989 7:0.48945764 8:-0.7592667 9:5.65488 10:-1.854942 11:4.2260494 12:0.42739725 13:0.45036694 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:224.34026 2:2.605908 3:4.882376 4:-4.3041854 5:0.48984176 6:-1.1027166 7:0.7264113 8:-4.60797 9:4.0396814 10:-0.46041936 11:3.886794 12:2.2021255 13:2.3516858 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:224.34026 2:2.605908 3:4.882376 4:-4.3041854 5:0.48984176 6:-1.1027166 7:0.7264113 8:-4.60797 9:4.0396814 10:-0.46041936 11:3.886794 12:2.2021255 13:2.3516858 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:218.17049 2:4.0264006 3:5.7313466 4:-4.8220654 5:3.7511163 6:-1.5581526 7:-1.210402 8:-2.953049 9:4.2820745 10:-0.6879849 11:1.0905117 12:-1.711092 13:3.8094215 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:218.17049 2:4.0264006 3:5.7313466 4:-4.8220654 5:3.7511163 6:-1.5581526 7:-1.210402 8:-2.953049 9:4.2820745 10:-0.6879849 11:1.0905117 12:-1.711092 13:3.8094215 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:222.7409 2:2.169717 3:3.480812 4:-4.9868937 5:2.8547654 6:-0.21282999 7:-0.48891115 8:-4.9116793 9:1.4782643 10:-5.55431 11:4.633686 12:1.6455095 13:1.3993735 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:222.7409 2:2.169717 3:3.480812 4:-4.9868937 5:2.8547654 6:-0.21282999 7:-0.48891115 8:-4.9116793 9:1.4782643 10:-5.55431 11:4.633686 12:1.6455095 13:1.3993735 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:222.68166 2:8.842233 3:8.560773 4:-7.313934 5:1.2774874 6:-0.57037836 7:2.3417246 8:-4.3608255 9:1.0660046 10:-3.6747568 11:4.140395 12:-1.1358778 13:1.508082 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:222.68166 2:8.842233 3:8.560773 4:-7.313934 5:1.2774874 6:-0.57037836 7:2.3417246 8:-4.3608255 9:1.0660046 10:-3.6747568 11:4.140395 12:-1.1358778 13:1.508082 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:220.8551 2:2.2866266 3:1.3963336 4:-6.509189 5:2.1587932 6:-0.55096406 7:-1.9545227 8:-2.8046486 9:2.968627 10:-4.7301207 11:3.6484482 12:-0.31113696 13:5.921087 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:220.8551 2:2.2866266 3:1.3963336 4:-6.509189 5:2.1587932 6:-0.55096406 7:-1.9545227 8:-2.8046486 9:2.968627 10:-4.7301207 11:3.6484482 12:-0.31113696 13:5.921087 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
1 1:220.19693 2:2.6701686 3:1.6742301 4:-6.902717 5:0.2961238 6:-1.1963232 7:3.5028992 8:-6.8034306 9:-1.2742455 10:-3.6507657 11:3.1430228 12:-0.42687568 13:1.7550706 14:75.18782 15:3.1800375 16:3.876605 17:1.3306235 18:2.5868022 19:-0.3265045 20:0.039200023 21:-1.8451297 22:1.3255793 23:-1.246085 24:0.8555288 25:-0.5566417 26:0.7913432 
